,ticker,exchange,icb2,industry_name,industry_perform,fullname_industry,signal,marketcap_group
70,DGC,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,x,mid
71,PET,HSX,Bán lẻ,ban_le,hsA,Bán lẻ,x,small
72,HVA,UPCOM,Thực phẩm,tai_chinh,hsA,Công ty tài chính,,penny
73,CSC,HNX,Bất động sản,bds,hsA,Bất động sản,,small
74,DPR,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,,small
75,PHP,UPCOM,Công nghiệp,cong_nghiep,hsB,Công nghiệp,,mid
76,ADS,HSX,Hàng tiêu dùng,det_may,hsB,Dệt may,,small
77,TTA,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,small
78,TVN,UPCOM,Tài nguyên cơ bản,thep,hsA,Thép,,small
79,CNG,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,small
80,DBC,HSX,Thực phẩm,thuc_pham,hsC,Thực phẩm,x,mid
81,MSN,HSX,Thực phẩm,thuc_pham,hsC,Thực phẩm,,large
82,SAM,HSX,Công nghệ,cong_nghe,hsC,Công nghệ,x,small
83,TNT,HSX,Tài nguyên cơ bản,khoang_san,hsB,Khoáng sản,,penny
84,SSI,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,mid
85,RYG,HSX,Xây dựng,xd,hsA,Xây dựng,,small
86,ITD,HSX,Công nghệ,cong_nghe,hsC,Công nghệ,,penny
87,TVC,HNX,Dịch vụ tài chính,tai_chinh,hsA,Công ty tài chính,,small
88,BVB,UPCOM,Ngân hàng,ngan_hang,hsC,Ngân hàng,,mid
89,HQC,HSX,Bất động sản,bds,hsA,Bất động sản,,small
90,SIP,HSX,Bất động sản,bds_kcn,hsC,BĐS KCN,,mid
91,DLG,HSX,Bất động sản,bds,hsA,Bất động sản,,small
92,ELC,HSX,Công nghệ,cong_nghe,hsC,Công nghệ,x,small
93,DVM,HNX,Y tế,y_te,hsD,Y tế,,penny
94,PVP,HSX,Công nghiệp,van_tai,hsC,Vận tải,x,small
95,SBB,UPCOM,Hàng tiêu dùng,thuc_pham,hsC,Thực phẩm,,small
96,PXL,UPCOM,Bất động sản,bds,hsA,Bất động sản,,small
97,OCB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,,mid
98,ACC,HSX,Xây dựng,xd,hsA,Xây dựng,,small
99,MPC,UPCOM,Thực phẩm,thuy_san,hsB,Thuỷ sản,,small
100,IDI,HSX,Thực phẩm,thuy_san,hsB,Thuỷ sản,x,small
101,PVB,HNX,Dầu khí,dau_khi,hsB,Dầu khí,,small
102,VGI,UPCOM,Công nghệ,cong_nghe,hsC,Công nghệ,x,large
103,VIC,HSX,Bất động sản,bds,hsA,Bất động sản,,large
104,IMP,HSX,Y tế,y_te,hsD,Y tế,,mid
